p01 | imgs:0 | chars:   38 | Graves / decires / de / aguda / intuición
p02 | imgs:0 | chars:    0 | 
p03 | imgs:0 | chars:  719 | A  Joni, que puso Almafuerte en mi walkman / A Sandra y a Daniel, que nos dejaron subir el volumen / A Fede que siempre insistió con Hermética / A Noley que me obligó a escucharlo. / A Zulma o a Mónica, que nos propuso e
p04 | imgs:0 | chars: 1350 | Esto lo hago porque soy uno de los tantos conmovidos por la / poesía de Ricardo Iorio (1962-2023) y porque lo que elige / decir lo entiendo trascendental a su tiempo y a su figura. / Quisiera que sea conocido y recordado
p05 | imgs:0 | chars:  836 | Solemos decir que algo o alguien tiene sus bemoles para / señalar puntos débiles o incongruencias, estableciendo un / paralelismo un tanto vacuo con el semitono previo a la nota / que podría ser la síntesis de nuestro ob
p06 | imgs:1 | chars:  552 | "Loco, V8 ponganlé. / Como el motor" / La Estética / “Basta ya de signos de la paz​ / Basta de cargar con el morral​ / Si estás cansado de llorar​
p07 | imgs:1 | chars:  725 | La Ética / "Reflejar el presente inmediato para que un chico de 17 años / que encuentre un cassette de Hermética, hurgando entre las / cosas de su padre, advierta cómo vivía éste cuando tenía su / edad. / La intención es
p08 | imgs:0 | chars:  937 | La Síntesis / “Fue, sin un porqué, mi gran sueño amasijado / Mucho lo lloré, por inesperado / Si existe un motivo, a mí no me lo comunicaron / Los que ayer conmigo compartieron tanto / Premeditaron apartarme y, al saberl
p09 | imgs:2 | chars:    1 | 9
p10 | imgs:0 | chars:   61 | “Mis años / y la madrugada, / anudan sueños por / cumplir” / 10
p11 | imgs:1 | chars:  771 | Para que la semilla de la consciencia llegue a vos / Dando vuelta la tierra, en los surcos de la vida, estoy / Maquinaria compleja / La cabeza tractoreando. / Las inclemencias del tiempo estoy aguantando / La sequía de h
p12 | imgs:1 | chars:   90 | Enajenación / Individualismo / 12
p13 | imgs:2 | chars:  441 | “La muerte es ocultar la verdad / El vacío es dejarse mentir / Olvídalo y volverá por más” / Olvídalo y volverá por más / Víctimas del Vaciamiento - 1994 / Hermética
p14 | imgs:0 | chars:  690 | Desnudar el sinrazón / Que modeló nuestras vidas / Parece ser causa perdida / Nadie apuesta a detener / El motor que contamina / El aire que a diario respiras
p15 | imgs:1 | chars:  349 | Derrame de combustible, exterminio forestal / El motor contaminante no se detendrá / Para ser, hay otro día en el planeta inferior / Como cualquier día / Como todo día / Con o sin mi reflexión
p16 | imgs:1 | chars:  553 | En todos los sitios, de cualquier ciudad​ / se encuentran los cerdos babeando maldad.​ / Son quienes controlan nuestra identidad​ / y lucran cuidando que no pienses de más. / Si es amplio tu tiempo para la reflexión,​ / 
p17 | imgs:1 | chars:  659 | En grises calles infectadas de tensión,​ / sucias paredes, dejan ver la desunión. / Todo está prohibido, salvo ser uno más​ / de los que olvidan y piden seguridad. / Suicidando mis horas estoy,​ / mientras insanos sigan 
p18 | imgs:1 | chars:  678 | Por nacer en este suelo, hice un pacto, yo con Dios. / O tal vez fue con el diablo, no lo sé / Sólo recuerdo el mandato decidor de no callar lo que / tanto se calló / Parece no importarle a quien parece no sentir / Tal v
p19 | imgs:1 | chars:    2 | 19
